renabap_id|nombre|provincia|departamento|localidad|cantidad_familias_aproximada|decada_de_creacion|anio_de_creacion|energia_electrica|efluentes_cloacales|agua_corriente|cocina|calefaccion|situacion_dominial|clasificacion_barrio|superficie_m2
3770|NM2653|PR6|DP194|LC498|CN134|DC8|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3408
3771|NM2654|PR6|DP194|LC498|CN83|DC2|ND1|NR3|FL2|GC1|CC3|CL2|ST3|CL1|SP3409
3772|NM206|PR6|DP194|LC498|CN164|DC1|ND1|NR3|FL1|GC2|CC3|CL2|ST3|CL1|SP3410
3773|NM2655|PR6|DP194|LC498|CN144|DC7|ND8|NR2|FL1|GC2|CC3|CL2|ST2|CL1|SP3411
3774|NM2656|PR6|DP194|LC498|CN142|DC5|ND1|NR3|FL2|GC2|CC1|CL2|ST3|CL1|SP3412
3775|NM2657|PR6|DP194|LC498|CN105|DC1|ND1|NR3|FL2|GC2|CC3|CL2|ST2|CL1|SP3413
3776|NM2658|PR6|DP194|LC498|CN64|DC7|ND3|NR2|FL2|GC2|CC3|CL2|ST3|CL1|SP3414
3777|NM2659|PR6|DP194|LC498|CN96|DC2|ND1|NR3|FL2|GC2|CC1|CL2|ST3|CL1|SP3415
3778|NM461|PR6|DP194|LC498|CN118|DC4|ND1|NR3|FL2|GC2|CC1|CL3|ST3|CL1|SP3416
3779|NM2660|PR6|DP194|LC498|CN235|DC4|ND1|NR3|FL2|GC2|CC1|CL3|ST2|CL1|SP3417
3780|NM2661|PR6|DP194|LC498|CN80|DC5|ND1|NR3|FL2|GC4|CC1|CL2|ST3|CL1|SP3418
3781|NM2662|PR6|DP29|LC499|CN80|DC5|ND1|NR2|FL2|GC5|CC3|CL2|ST2|CL1|SP3419
3782|NM1527|PR6|DP193|LC497|CN45|DC5|ND1|NR3|FL2|GC4|CC1|CL2|ST2|CL1|SP3420
3783|NM2663|PR6|DP193|LC497|CN56|DC1|ND1|NR3|FL2|GC1|CC3|CL2|ST2|CL1|SP3421
3784|NM2664|PR6|DP193|LC497|CN34|DC1|ND1|NR3|FL1|GC5|CC1|CL3|ST3|CL1|SP3422
3785|NM419|PR6|DP193|LC497|CN104|DC7|ND2|NR2|FL2|GC4|CC3|CL2|ST2|CL1|SP3423
3786|NM2665|PR6|DP195|LC500|CN60|DC7|ND6|NR2|FL2|GC2|CC3|CL2|ST2|CL1|SP3424
3787|NM2666|PR6|DP195|LC500|CN80|DC1|ND1|NR3|FL2|GC2|CC3|CL2|ST3|CL1|SP3425
